image_id,entity_type,entity_id,image_path,image_description
IMG1,structure,ST101,images/structures/ST101_Amritavarshini_Vav/img1.jpg,structure image
IMG2,structure,ST101,images/structures/ST101_Amritavarshini_Vav/img2.jpg,structure image
IMG3,structure,ST101,images/structures/ST101_Amritavarshini_Vav/img3.jpg,structure image
IMG4,structure,ST102,images/structures/ST102_Dutch_Tomb/img1.jpg,structure image
IMG5,structure,ST102,images/structures/ST102_Dutch_Tomb/img2.jpg,structure image
IMG6,structure,ST102,images/structures/ST102_Dutch_Tomb/img3.jpg,structure image
IMG7,structure,ST103,images/structures/ST103_Khan_Talav/img1.jpg,structure image
IMG8,structure,ST103,images/structures/ST103_Khan_Talav/img2.jpg,structure image
IMG9,structure,ST103,images/structures/ST103_Khan_Talav/img3.jpg,structure image
IMG10,structure,ST104,images/structures/ST104_Ancient_Masjid/img1.jpg,structure image
IMG11,structure,ST104,images/structures/ST104_Ancient_Masjid/img2.jpg,structure image
IMG12,structure,ST104,images/structures/ST104_Ancient_Masjid/img3.jpg,structure image
IMG13,structure,ST105,images/structures/ST105_Ancient_Step_Well/img1.jpg,structure image
IMG14,structure,ST105,images/structures/ST105_Ancient_Step_Well/img2.jpg,structure image
IMG15,structure,ST105,images/structures/ST105_Ancient_Step_Well/img3.jpg,structure image
IMG16,structure,ST106,images/structures/ST106_Timbo/img1.jpg,structure image
IMG17,structure,ST106,images/structures/ST106_Timbo/img2.jpg,structure image
IMG18,structure,ST106,images/structures/ST106_Timbo/img3.jpg,structure image
IMG19,structure,ST107,images/structures/ST107_Adnath_Temple/img1.jpg,structure image
IMG20,structure,ST107,images/structures/ST107_Adnath_Temple/img2.jpg,structure image
IMG21,structure,ST107,images/structures/ST107_Adnath_Temple/img3.jpg,structure image
IMG22,structure,ST109,images/structures/ST109_Ganganath_Mahadev_Temple/img1.jpg,structure image
IMG23,structure,ST109,images/structures/ST109_Ganganath_Mahadev_Temple/img2.jpg,structure image
IMG24,structure,ST109,images/structures/ST109_Ganganath_Mahadev_Temple/img3.jpg,structure image
IMG25,structure,ST110,images/structures/ST110_Ancient_Shiv_Temple/img1.jpg,structure image
IMG26,structure,ST110,images/structures/ST110_Ancient_Shiv_Temple/img2.jpg,structure image
IMG27,structure,ST110,images/structures/ST110_Ancient_Shiv_Temple/img3.jpg,structure image
IMG28,structure,ST111,images/structures/ST111_Kumbheshwar_Mahadev/img1.jpg,structure image
IMG29,structure,ST111,images/structures/ST111_Kumbheshwar_Mahadev/img2.jpg,structure image
IMG30,structure,ST111,images/structures/ST111_Kumbheshwar_Mahadev/img3.jpg,structure image
IMG31,structure,ST112,images/structures/ST112_Temple_No1_Near_Kantivas/img1.jpg,structure image
IMG32,structure,ST112,images/structures/ST112_Temple_No1_Near_Kantivas/img2.jpg,structure image
IMG33,structure,ST112,images/structures/ST112_Temple_No1_Near_Kantivas/img3.jpg,structure image
IMG34,structure,ST113,images/structures/ST113_Temple_No2/img1.jpg,structure image
IMG35,structure,ST113,images/structures/ST113_Temple_No2/img2.jpg,structure image
IMG36,structure,ST113,images/structures/ST113_Temple_No2/img3.jpg,structure image
IMG37,structure,ST114,images/structures/ST114_Temple_No3/img1.jpg,structure image
IMG38,structure,ST114,images/structures/ST114_Temple_No3/img2.jpg,structure image
IMG39,structure,ST114,images/structures/ST114_Temple_No3/img3.jpg,structure image
IMG40,structure,ST115,images/structures/ST115_Temple_No4/img1.jpg,structure image
IMG41,structure,ST115,images/structures/ST115_Temple_No4/img2.jpg,structure image
IMG42,structure,ST115,images/structures/ST115_Temple_No4/img3.jpg,structure image
IMG43,structure,ST116,images/structures/ST116_Temple_No5/img1.jpg,structure image
IMG44,structure,ST116,images/structures/ST116_Temple_No5/img2.jpg,structure image
IMG45,structure,ST116,images/structures/ST116_Temple_No5/img3.jpg,structure image
IMG46,structure,ST117,images/structures/ST117_Temple_No6/img1.jpg,structure image
IMG47,structure,ST117,images/structures/ST117_Temple_No6/img2.jpg,structure image
IMG48,structure,ST117,images/structures/ST117_Temple_No6/img3.jpg,structure image
IMG49,structure,ST118,images/structures/ST118_Temple_No1_(near_Mahudi)/img1.jpg,structure image
IMG50,structure,ST118,images/structures/ST118_Temple_No1_(near_Mahudi)/img2.jpg,structure image
IMG51,structure,ST118,images/structures/ST118_Temple_No1_(near_Mahudi)/img3.jpg,structure image
IMG52,structure,ST119,images/structures/ST119_Temple_No2/img1.jpg,structure image
IMG53,structure,ST119,images/structures/ST119_Temple_No2/img2.jpg,structure image
IMG54,structure,ST119,images/structures/ST119_Temple_No2/img3.jpg,structure image
IMG55,structure,ST120,images/structures/ST120_Temple_No3/img1.jpg,structure image
IMG56,structure,ST120,images/structures/ST120_Temple_No3/img2.jpg,structure image
IMG57,structure,ST120,images/structures/ST120_Temple_No3/img3.jpg,structure image
IMG58,structure,ST121,images/structures/ST121_Temple_No4/img1.jpg,structure image
IMG59,structure,ST121,images/structures/ST121_Temple_No4/img2.jpg,structure image
IMG60,structure,ST121,images/structures/ST121_Temple_No4/img3.jpg,structure image
IMG61,structure,ST122,images/structures/ST122_Stepwell/img1.jpg,structure image
IMG62,structure,ST122,images/structures/ST122_Stepwell/img2.jpg,structure image
IMG63,structure,ST122,images/structures/ST122_Stepwell/img3.jpg,structure image
IMG64,structure,ST123,images/structures/ST123_Ancient_Temple/img1.jpg,structure image
IMG65,structure,ST123,images/structures/ST123_Ancient_Temple/img2.jpg,structure image
IMG66,structure,ST123,images/structures/ST123_Ancient_Temple/img3.jpg,structure image
IMG67,structure,ST124,images/structures/ST124_Muleshwar_Mahadev_Temple/img1.jpg,structure image
IMG68,structure,ST124,images/structures/ST124_Muleshwar_Mahadev_Temple/img2.jpg,structure image
IMG69,structure,ST124,images/structures/ST124_Muleshwar_Mahadev_Temple/img3.jpg,structure image
IMG70,structure,ST125,images/structures/ST125_Muleshwar_Mahadev_Temple/img1.jpg,structure image
IMG71,structure,ST125,images/structures/ST125_Muleshwar_Mahadev_Temple/img2.jpg,structure image
IMG72,structure,ST125,images/structures/ST125_Muleshwar_Mahadev_Temple/img3.jpg,structure image
IMG73,structure,ST126,images/structures/ST126_Mithi_Vav/img1.jpg,structure image
IMG74,structure,ST126,images/structures/ST126_Mithi_Vav/img2.jpg,structure image
IMG75,structure,ST126,images/structures/ST126_Mithi_Vav/img3.jpg,structure image
IMG76,structure,ST127,images/structures/ST127_Zaloragadh_Timbo/img1.jpg,structure image
IMG77,structure,ST127,images/structures/ST127_Zaloragadh_Timbo/img2.jpg,structure image
IMG78,structure,ST127,images/structures/ST127_Zaloragadh_Timbo/img3.jpg,structure image
IMG79,structure,ST128,images/structures/ST128_Kadia_Dungar_Caves/img1.jpg,structure image
IMG80,structure,ST128,images/structures/ST128_Kadia_Dungar_Caves/img2.jpg,structure image
IMG81,structure,ST128,images/structures/ST128_Kadia_Dungar_Caves/img3.jpg,structure image
IMG82,structure,ST129,images/structures/ST129_Haripiya_Timbo/img1.jpg,structure image
