site_id,name,address,district,state,latitude,longitude,gis_accuracy
S101,Amritavarshini Vav,Panchkuva,Ahmedabad,Gujarat,23.025,72.5972,exact
S102,Dutch Tomb,Near Kankaria Lake,Ahmedabad,Gujarat,23.0058,72.5975,exact
S103,Khan Talav,Dholka,Ahmedabad,Gujarat,22.7344,72.4297,exact
S104,Ancient Masjid,Isanpur,Ahmedabad,Gujarat,22.975,72.6031,exact
S105,Ancient Step Well,Kathwada,Ahmedabad,Gujarat,23.0578,72.7047,exact
S106,Timbo,Babra,Amreli,Gujarat,21.848,71.3058,exact
S107,Adnath Temple,Adpokar,Gir Somnath,Gujarat,20.8514,70.7908,exact
S108,Kandhrmatad Inscriptions,Juni Fafani,Gir Somnath,Gujarat,20.929818,70.762758,"approximate (district: Gir Somnath, Gujarat)"
S109,Ganganath Mahadev Temple,Tosan,Gir Somnath,Gujarat,20.929818,70.762758,"approximate (district: Gir Somnath, Gujarat)"
S110,Ancient Shiv Temple,Kasara,Banaskantha,Gujarat,23.9117,71.9133,exact
S111,Kumbheshwar Mahadev,Kumbhariya,Banaskantha,Gujarat,24.3244,72.8611,exact
S112,Temple No.1 Near Kantivas,Tarsang Forest,Banaskantha,Gujarat,24.0994,72.8042,exact
S113,Temple No.2,Tarsang Forest,Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S114,Temple No.3,Tarsang Forest,Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S115,Temple No.4,Tarsang Forest,Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S116,Temple No.5,Tarsang Forest,Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S117,Temple No.6,Tarsang Forest,Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S118,Temple No.1 (near Mahudi),Tarsang Forest (Near Mahudi),Banaskantha,Gujarat,24.1064,72.8125,exact
S119,Temple No. 2,Tarsang Forest (Near Mahudi),Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S120,Temple No. 3,Tarsang Forest (Near Mahudi),Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S121,Temple No. 4,Tarsang Forest (Near Mahudi),Banaskantha,Gujarat,24.269387,72.536751,"approximate (district: Banaskantha, Gujarat)"
S122,Stepwell,Hadad,Banaskantha,Gujarat,24.2628,72.98,exact
S123,Ancient Temple,Hadad,Banaskantha,Gujarat,24.2664,72.975,exact
S124,Muleshwar Mahadev Temple,Padan,Banaskantha,Gujarat,24.2858,71.3133,exact
S125,Muleshwar Mahadev Temple,Vav,Banaskantha,Gujarat,24.4011,71.485,exact
S126,Mithi Vav,Palanpur,Banaskantha,Gujarat,24.1689,72.4433,exact
S127,Zaloragadh Timbo,Zaloragadh (Radhanpur),Patan,Gujarat,23.773753,71.679858,"approximate (district: Patan, Gujarat)"
S128,Kadia Dungar Caves,Zazpor,Bharuch,Gujarat,21.6736,73.2722,exact
S129,Haripiya Timbo,Budhel,Bhavnagar,Gujarat,21.6825,72.1592,exact
S130,Ganga Chhatri,Bhavnagar,Bhavnagar,Gujarat,21.7758,72.1442,exact
S131,Carvings of Old Darbargadh,Bhavnagar,Bhavnagar,Gujarat,21.771884,72.141645,"approximate (area: Bhavnagar, Bhavnagar)"
S132,Bhavnath Temple,Bhavnagar,Bhavnagar,Gujarat,21.7778,72.1439,exact
S133,Firangi Deval,Kalsar,Bhavnagar,Gujarat,21.1214,71.8967,exact
S134,Gopnath Temple(Ceiling and Pictures on the wall),Talaja,Bhavnagar,Gujarat,21.2097,72.1058,exact
S135,Brahma Kund,Sihor,Bhavnagar,Gujarat,21.7061,71.9606,exact
S136,Saat Sheri (Satsheri),Sihor,Bhavnagar,Gujarat,21.7061,71.965,exact
S137,Minara,Loliyana,Bhavnagar,Gujarat,21.9422,71.7903,exact
S138,Ancient Temple,Gundi,Bhavnagar,Gujarat,20.888084,70.400865,approximate (name matched in Gujarat)
S139,Kund & Toran,Kapadvanj,Kheda,Gujarat,23.0353,73.0728,exact
S140,Vav (Step Well) (Dholikui),Kapadvanj,Kheda,Gujarat,23.0233,73.0717,exact
S141,Vori Vav,Kapadvanj,Kheda,Gujarat,23.02324,73.072753,"approximate (area: Kapadvanj, Kheda)"
S142,Mota Todavali Vav,Vadtal,Kheda,Gujarat,22.8597,72.9572,exact
S143,Vav (Step Well),Mahemdavad,Kheda,Gujarat,22.8258,72.7547,exact
S144,Bhadrakali Mata Stepwell,Umreth,Anand,Gujarat,22.7047,73.0714,exact
S145,Bhadeshwar Temple,Anjar,Kachchh,Gujarat,23.1056,70.0292,exact
S146,Deputy Collector Office (MacMurdo's Bungalow),Anjar,Kachchh,Gujarat,23.1114,70.0275,exact
